NAME,CITY,STABBR,BASIC2015,S&ER&D,NONS&ER&D,PDNFRSTAFF,FACNUM,HUM_RSD,SOCSC_RSD,STEM_RSD,OTHER_RSD,DRSPROF
Air Force Institute of Technology-Graduate School of Engineering & Management,Wright-Patterson AFB,OH,17,23335,567,0,141,0,0,30,0,0
American University,Washington,DC,16,38038,25590,1,529,7,28,3,22,22
Arizona State University-Tempe,Tempe,AZ,15,380581,46070,478,1380,72,68,222,88,88
Auburn University,Auburn University,AL,16,140110,2377,36,1086,7,4,111,127,127
Augusta University,Augusta,GA,16,64116,2,148,789,0,0,26,2,2
Ball State University,Muncie,IN,16,4364,4845,0,753,19,6,3,46,46
Barry University,Miami,FL,17,1658,19,0,321,0,0,0,49,49
Baylor University,Waco,TX,16,17877,2852,45,637,25,15,32,38,38
Boise State University,Boise,ID,17,25351,1217,32,494,0,0,18,16,16
Boston College,Chestnut Hill,MA,15,28326,21398,116,718,20,24,27,86,86
Boston University,Boston,MA,15,353850,13478,522,1833,60,59,217,176,176
Bowling Green State University-Main Campus,Bowling Green,OH,16,8630,231,14,515,36,20,29,21,21
Brandeis University,Waltham,MA,15,67048,7944,190,302,23,26,38,10,10
Brigham Young University-Provo,Provo,UT,16,30797,7254,26,1206,0,3,48,33,33
Brown University,Providence,RI,15,291917,49614,285,667,44,35,146,2,2
California Institute of Technology,Pasadena,CA,15,358137,9045,884,279,0,1,180,0,0
California State University-Fresno,Fresno,CA,17,7303,806,0,497,0,0,0,30,30
California State University-Fullerton,Fullerton,CA,17,7104,815,11,707,0,0,0,28,28
Carnegie Mellon University,Pittsburgh,PA,15,250497,725,304,674,16,16,294,15,15
Case Western Reserve University,Cleveland,OH,15,417436,1575,541,1131,8,9,148,34,34
Catholic University of America,Washington,DC,16,22009,322,18,400,31,9,14,34,34
Central Michigan University,Mount Pleasant,MI,16,11506,3509,8,592,0,10,13,46,46
Claremont Graduate University,Claremont,CA,16,6886,2981,0,96,33,43,16,39,39
Clark Atlanta University,Atlanta,GA,16,9172,20,18,155,5,2,12,23,23
Clark University,Worcester,MA,17,5644,524,7,181,5,17,3,0,0
Clarkson University,Potsdam,NY,17,13642,108,24,195,0,0,35,0,0
Clemson University,Clemson,SC,15,116871,44199,65,856,2,9,143,62,62
Cleveland State University,Cleveland,OH,16,61291,492,9,416,0,3,17,18,18
College of William and Mary,Williamsburg,VA,16,49428,9587,44,575,8,7,28,29,29
Colorado School of Mines,Golden,CO,16,58498,1197,135,186,0,4,92,0,0
Colorado State University-Fort Collins,Fort Collins,CO,15,300572,7406,513,1099,2,24,139,65,65
